,trans_date_trans_time,cc_num,merchant,category,amt,gender,city,state,zip,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,hour,no_of_misclass
44724,2019-10-23 13:59:10,30029052116970,fraud_Bernhard-Lesch,food_dining,45.94,M,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09 00:00:00,42.551804,-79.61649,0,13,1
44803,2019-10-24 05:28:56,3559679414981506,fraud_Dickinson-Rempel,misc_pos,6.06,F,Lowville,NY,13367,43.7893,-75.4156,8830,Theme park manager,1991-03-29 00:00:00,43.215541,-74.489752,0,5,1
44924,2019-10-25 02:48:37,30404291151692,"fraud_Towne, Walker and Borer",grocery_net,58.77,F,North Tonawanda,NY,14120,43.0498,-78.851,45100,Ambulance person,1993-10-25 00:00:00,42.629523,-79.565128,0,2,1
44943,2019-10-25 07:20:44,342319985983023,fraud_Hackett-Lueilwitz,grocery_pos,102.1,M,Margaretville,NY,12455,42.1852,-74.6178,1988,Environmental health practitioner,1978-05-23 00:00:00,41.885158,-74.97852900000001,0,7,1
45002,2019-10-25 17:06:55,675909898057,fraud_Ernser-Feest,home,21.91,M,Armonk,NY,10504,41.136,-73.7009,7987,Television/film/video producer,1964-03-16 00:00:00,40.827632,-73.298811,0,17,1
45095,2019-10-26 08:54:24,3561963695236764,fraud_Torp-Lemke,misc_pos,33.95,M,Shelter Island,NY,11964,41.06399999999999,-72.3366,1858,Clinical biochemist,1984-03-03 00:00:00,40.764701,-72.689465,0,8,1
45130,2019-10-26 14:14:40,4646845581490336108,"fraud_Koss, Hansen and Lueilwitz",home,139.5,F,West Sayville,NY,11796,40.732,-73.1,4056,Film/video editor,1990-06-25 00:00:00,41.089959,-73.618997,0,14,1
45186,2019-10-26 20:13:09,4342532437704183,"fraud_Douglas, Schneider and Turner",shopping_pos,6.68,M,Newark Valley,NY,13811,42.2281,-76.1625,4354,Further education lecturer,1994-02-16 00:00:00,41.614704,-76.456815,0,20,1
45744,2019-10-30 08:38:14,4736845434667908128,"fraud_Reichert, Huels and Hoppe",shopping_net,1.4,F,Altona,NY,12910,44.8816,-73.6408,2148,"Surveyor, land/geomatics",1953-05-23 00:00:00,45.557471,-73.08290500000001,0,8,1
45769,2019-10-30 15:12:39,4859525594182537,fraud_Williamson LLC,misc_pos,2.62,F,Downsville,NY,13755,42.0716,-75.0152,1228,"Psychotherapist, child",1990-02-25 00:00:00,42.182512,-74.54307,0,15,1
45863,2019-10-31 12:14:03,30042378430132,fraud_Goyette Inc,shopping_net,2.62,M,Northport,NY,11768,40.9051,-73.3309,21902,Tour manager,1976-05-16 00:00:00,41.833173,-73.892121,0,12,1
46115,2019-11-02 06:33:19,38797410705641,"fraud_Mosciski, Gislason and Mertz",grocery_pos,93.2,M,Oak Hill,NY,12460,42.4069,-74.1528,277,Glass blower/designer,1971-12-12 00:00:00,42.856935,-75.123199,0,6,1
46286,2019-11-03 02:26:33,213161293389774,fraud_Kutch LLC,gas_transport,73.8,F,West Henrietta,NY,14586,43.0397,-77.6871,10256,"Teacher, primary school",1968-06-24 00:00:00,42.812246,-78.37444599999999,0,2,1
46604,2019-11-04 19:35:46,180017442990269,"fraud_Walter, Hettinger and Kessler",personal_care,24.91,F,Albany,NY,12222,42.6853,-73.8253,151022,"Designer, textile",1939-06-01 00:00:00,41.716243,-74.20943,0,19,1
46727,2019-11-05 21:58:17,38797410705641,fraud_Jewess LLC,shopping_pos,121.45,M,Oak Hill,NY,12460,42.4069,-74.1528,277,Glass blower/designer,1971-12-12 00:00:00,42.636804,-74.684107,0,21,1
47294,2019-11-10 00:59:24,372382441451095,"fraud_Lind, Huel and McClure",gas_transport,44.52,M,Port Ewen,NY,12466,41.8948,-73.9767,2471,Heritage manager,1966-01-21 00:00:00,41.118319,-73.445752,0,0,1
47572,2019-11-11 17:48:10,4904681492230012,fraud_Hickle Group,shopping_pos,3.07,F,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19 00:00:00,42.077714,-74.716891,0,17,1
48120,2019-11-16 12:01:29,342360239917375,fraud_Lind-Buckridge,entertainment,41.9,F,Howes Cave,NY,12092,42.7045,-74.3648,1304,Jewellery designer,1970-06-09 00:00:00,42.371132,-74.583334,0,12,1
48250,2019-11-17 07:55:12,4988304376504,fraud_Parisian and Sons,gas_transport,65.65,M,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,1937-03-17 00:00:00,40.657884,-74.22245699999999,0,7,1
48359,2019-11-17 21:01:10,36721445180895,fraud_Hackett Group,travel,6.93,M,Jefferson,NY,12093,42.4999,-74.6117,1666,Diagnostic radiographer,1968-07-01 00:00:00,41.643826,-75.527046,0,21,1
48570,2019-11-18 21:07:14,36360452125889,"fraud_Prosacco, Kreiger and Kovacek",home,3.44,M,West Chazy,NY,12992,44.797,-73.5112,4778,Engineering geologist,1954-06-14 00:00:00,43.807914,-73.111028,0,21,1
48606,2019-11-19 02:26:54,580954173374,fraud_Sporer Inc,gas_transport,53.16,F,Montrose,NY,10548,41.2496,-73.9446,3487,Race relations officer,1960-01-13 00:00:00,40.366309,-74.411451,0,2,1
49034,2019-11-22 18:06:13,4904681492230012,fraud_Turner and Sons,shopping_pos,45.14,F,Cottekill,NY,12419,41.8467,-74.1038,722,Comptroller,1990-10-19 00:00:00,41.526429,-74.72296700000001,0,18,1
49625,2019-11-25 23:09:59,3551217896304745,fraud_Volkman PLC,food_dining,43.6,F,Tupper Lake,NY,12986,44.232,-74.4905,6120,Chartered loss adjuster,1976-10-09 00:00:00,43.580454,-74.334119,0,23,1
